word,level,pos,word_fr,flag,last_seen_date
a,a1,indefinite article,un,green,2026-06-29T14:27:31.827Z
abandon,b2,verb,abandonner,green,2026-06-29T14:27:37.823Z
ability,a2,noun,capacité,yellow,2026-06-29T14:27:41.630Z
able,a2,adjective,capable,green,2026-06-29T14:27:44.926Z
abolish,c1,verb,abolir,green,2026-06-29T14:27:48.427Z
abortion,c1,noun,avortement,green,2026-06-29T14:28:43.662Z
about,a1,adverb,environ,yellow,2026-06-29T14:47:37.027Z
about,a1,preposition,autour de,yellow,2026-06-29T14:47:51.200Z
above,a1,adverb,au-dessus,green,2026-06-29T14:47:55.059Z
above,a1,preposition,au-dessus de,green,2026-06-29T14:47:59.367Z
abroad,a2,adverb,à l'étranger,green,2026-06-29T14:48:04.316Z
absence,c1,noun,absence,yellow,2026-06-29T14:48:09.174Z
absent,c1,adjective,absent,,
absolute,b2,adjective,absolu,,
absolutely,b1,adverb,absolument,,
absorb,b2,verb,absorber,,
abstract,b2,adjective,abstrait,,
absurd,c1,adjective,absurde,,
abundance,c1,noun,abondance,,
abuse,c1,noun,abus,,
abuse,c1,verb,abuser,,
academic,b1,adjective,académique,,
academic,b2,noun,universitaire,,
academy,c1,noun,académie,,
accelerate,c1,verb,accélérer,,
accent,b2,noun,accent,,
accept,a2,verb,accepter,,
acceptable,b2,adjective,acceptable,,
acceptance,c1,noun,acceptation,,
access,b1,noun,entrée,,
access,b1,verb,accéder,,
accessible,c1,adjective,accessible,,
accident,a2,noun,accident,,
accidentally,b2,adverb,accidentellement,,
accommodate,b2,verb,accommoder,,
accommodation,b1,noun,logement,,
accompany,b2,verb,accompagner,,
accomplish,b2,verb,accomplir,,
accomplishment,c1,noun,accomplissement,,
accordance,c1,noun,conformité,,
according to,a2,preposition,selon,,
accordingly,c1,adverb,en conséquence,,
account,b1,noun,compte,,
account,b2,verb,rendre compte de,,
accountability,c1,noun,engagement responsable,,
accountable,c1,adjective,responsable,,
accountant,b2,noun,comptable,,
accounting,,noun,comptabilité,,
accumulate,c1,verb,accumuler,,
accumulation,c1,noun,accumulation,,
accuracy,b2,noun,exactitude,,
accurate,b2,adjective,précis,,
accurately,b2,adverb,précisément,,
accusation,c1,noun,accusation,,
accuse,b2,verb,accuser,,
accused,c1,noun,accusé,,
achieve,a2,verb,accomplir,,
achievement,b1,noun,succès,,
acid,c1,adjective,acide,,
acid,b2,noun,acide,,
acknowledge,b2,verb,reconnaître,,
acquire,b2,verb,acquérir,,
acquisition,c1,noun,acquisition,,
acre,c1,noun,acre,,
across,a1,adverb,à travers,,
across,a1,preposition,à travers,,
act,b1,noun,acte,,
act,a2,verb,faire,,
action,a1,noun,action,,
activate,b2,verb,activer,,
activation,c1,noun,activation,,
active,a2,adjective,actif,,
activist,c1,noun,activiste,,
activity,a1,noun,activité,,
actor,a1,noun,acteur,,
actress,a1,noun,actrice,,
actual,b2,adjective,réel,,
actually,a2,adverb,en fait,,
acute,c1,adjective,aigu,,
ad,b1,noun,pub,,
adapt,b2,verb,adapter,,
adaptation,c1,noun,adaptation,,
add,a1,verb,ajouter,,
addiction,b2,noun,dépendance,,
addition,b1,noun,addition,,
additional,b2,adjective,supplémentaire,,
additionally,b2,adverb,de plus,,
address,a1,noun,adresse,,
address,b2,verb,aborder,,
adequate,b2,adjective,adéquat,,
adequately,b2,adverb,convenablement,,
adhere,c1,verb,adhérer,,
adjacent,c1,adjective,adjacent,,
adjust,b2,verb,ajuster,,
adjustment,c1,noun,ajustement,,
administer,c1,verb,administrer,,
administration,b2,noun,administration,,
administrative,c1,adjective,administratif,,
administrator,c1,noun,administrateur,,
admire,b1,verb,admirer,,
admission,c1,noun,abord,,
admit,b1,verb,admettre,,
adolescent,c1,noun,adolescent,,
adopt,b2,verb,adopter,,
adoption,c1,noun,adoption,,
adult,a2,adjective,adulte,,
adult,a1,noun,adulte,,
advance,b2,adjective,préalable,,
advance,b2,noun,avance,,
advance,b2,verb,avancer,,
advanced,b1,adjective,avancé,,
advantage,a2,noun,avantage,,
adventure,a2,noun,aventure,,
adverse,c1,adjective,adverse,,
advertise,a2,verb,annoncer,,
advertisement,a2,noun,publicité,,
advertising,a2,noun,publicité,,
advice,a1,noun,conseil,,
advise,b1,verb,conseiller,,
advocate,c1,noun,avocat,,
advocate,c1,verb,plaider,,
aesthetic,c1,adjective,esthétique,,
affair,b2,noun,aventure,,
affect,a2,verb,affecter,,
affection,c1,noun,affection,,
afford,b1,verb,se permettre,,
affordable,b2,adjective,abordable,,
afraid,a1,adjective,effrayé,,
after,a2,adverb,après,,
after,a2,conjunction,après,,
after,a1,preposition,après,,
aftermath,c1,noun,conséquences,,
afternoon,a1,noun,après-midi,,
afterwards,b2,adverb,après,,
again,a1,adverb,de nouveau,,
against,a2,preposition,contre,,
age,a1,noun,âge,,
age,b1,verb,vieillir,,
aged,b1,adjective,âgé,,
agency,b2,noun,agence,,
agenda,b2,noun,ordre du jour,,
agent,b1,noun,agent,,
aggression,c1,noun,agression,,
aggressive,b2,adjective,agressif,,
ago,a1,adverb,il y a,,
agree,a1,verb,être d'accord,,
agreement,b1,noun,accord,,
agricultural,c1,adjective,agricole,,
agriculture,b2,noun,agriculture,,
ah,a2,exclamation,ah,,
ahead,b1,adverb,devant,,
aid,b2,noun,aide,,
aid,b2,verb,aider,,
aide,c1,noun,assistant,,
aids,b2,noun,sida,,
aim,b1,noun,cible,,
aim,b1,verb,viser,,
air,a1,noun,air,,
aircraft,b2,noun,avion,,
airline,a2,noun,compagnie aérienne,,
airport,a1,noun,aéroport,,
alarm,b1,noun,alarme,,
alarm,b2,verb,alarmer,,
albeit,c1,conjunction,bien que,,
album,b1,noun,album,,
alcohol,b1,noun,alcool,,
alcoholic,b1,adjective,alcoolique,,
alert,c1,adjective,alerte,,
alert,c1,noun,alarme,,
alert,c1,verb,alerter,,
alien,c1,adjective,étranger,,
alien,b2,noun,étranger,,
align,c1,verb,aligner,,
alignment,c1,noun,alliance,,
alike,c1,adjective,semblable,,
alike,c1,adverb,pareillement,,
alive,a2,adjective,vivant,,
all,a2,adverb,tout,,
all,a1,determiner,tout,,
all,a1,pronoun,tout,,
all right,a2,adjective,correct,,
all right,a2,adverb,bien,,
all right,a2,exclamation,bien,,
allegation,c1,noun,allégation,,
allege,c1,verb,prétendre,,
allegedly,c1,adverb,prétendument,,
alliance,c1,noun,alliance,,
allocate,c1,verb,allouer,,
allocation,c1,noun,allocation,,
allow,a2,verb,laisser,,
allowance,c1,noun,pension alimentaire,,
ally,c1,noun,allié,,
almost,a2,adverb,presque,,
alone,a2,adjective,seul,,
alone,a2,adverb,seul,,
along,a2,adverb,accompagné,,
along,a2,preposition,le long de,,
alongside,b2,preposition,côte-à-côte avec,,
already,a2,adverb,déjà,,
also,a1,adverb,aussi,,
alter,b2,verb,modifier,,
alternative,b1,adjective,alternatif,,
alternative,a2,noun,alternative,,
although,a2,conjunction,quoique,,
altogether,b2,adverb,complètement,,
aluminium,c1,noun,aluminium,,
always,a1,adverb,toujours,,
amateur,c1,adjective,amateur,,
amateur,c1,noun,amateur,,
amazed,b1,adjective,stupéfait,,
amazing,a1,adjective,incroyable,,
ambassador,c1,noun,ambassadeur,,
ambition,b1,noun,ambition,,
ambitious,b1,adjective,ambitieux,,
ambulance,b2,noun,ambulance,,
amend,c1,verb,amender,,
amendment,c1,noun,amendement,,
amid,c1,preposition,au milieu de,,
among,a2,preposition,parmi,,
amount,a2,noun,montant,,
amount,b2,verb,correspondre,,
amusing,b2,adjective,amusant,,
analogy,c1,noun,analogie,,
analyse,b1,verb,analyser,,
analysis,b1,noun,analyse,,
analyst,b2,noun,analyste,,
ancestor,b2,noun,ancêtre,,
anchor,c1,noun,ancre,,
ancient,a2,adjective,antique,,
and,a1,conjunction,et,,
angel,c1,noun,ange,,
anger,b2,noun,colère,,
angle,b2,noun,angle,,
angrily,,adverb,avec colère,,
angry,a1,adjective,en colère,,
animal,a1,noun,animal,,
animation,b2,noun,animation,,
ankle,a2,noun,cheville,,
anniversary,b2,noun,anniversaire,,
announce,b1,verb,annoncer,,
announcement,b1,noun,annonce,,
annoy,b1,verb,agacer,,
annoyed,b1,adjective,contrarié,,
annoying,b1,adjective,agaçant,,
annual,b2,adjective,annuel,,
annually,b2,adverb,annuellement,,
anonymous,c1,adjective,anonyme,,
another,a1,determiner,un autre,,
another,a1,pronoun,un autre,,
